,PERSON_ID,GAME_DATE
63,1628415,APR 19 2022 08:30 PM
64,1628971,APR 20 2022 07:00 PM
65,1627759,APR 20 2022 07:00 PM
66,1629650,Empty
67,1628425,APR 18 2022 08:30 PM
68,1630535,Empty
69,1629718,APR 18 2022 07:30 PM
70,1630602,APR 19 2022 07:30 PM
71,1628972,APR 20 2022 09:30 PM
72,1628973,APR 18 2022 08:30 PM
73,1628418,Empty
74,203493,APR 18 2022 08:30 PM
75,203504,APR 18 2022 08:30 PM
76,202692,Empty
77,1630215,APR 18 2022 08:30 PM
78,202710,APR 19 2022 07:30 PM
79,1629719,Empty
80,203484,Empty
81,1630267,APR 18 2022 10:00 PM
82,1628427,APR 18 2022 10:00 PM
83,1629962,Empty
84,203991,APR 19 2022 07:30 PM
85,1630176,Empty
86,1628975,APR 20 2022 09:30 PM
87,1628976,Empty
88,1627936,APR 20 2022 09:30 PM
89,1630551,APR 18 2022 07:30 PM
90,1629185,APR 18 2022 10:00 PM
91,1627737,APR 18 2022 08:30 PM
92,1630528,Empty
93,1629109,APR 19 2022 10:00 PM
94,1629634,APR 19 2022 08:30 PM
95,203903,APR 18 2022 08:30 PM
96,1629651,APR 20 2022 07:00 PM
97,1629599,Empty
98,1628381,APR 19 2022 07:30 PM
99,1628380,Empty
100,201144,APR 18 2022 08:30 PM
101,1626192,APR 20 2022 09:30 PM
102,1629076,APR 20 2022 09:30 PM
103,1630536,APR 19 2022 07:30 PM
104,202326,APR 18 2022 10:00 PM
105,203496,Empty
106,1628470,APR 19 2022 10:00 PM
107,203109,APR 19 2022 10:00 PM
108,1629633,APR 19 2022 08:30 PM
109,1630595,Empty
110,203552,APR 20 2022 07:00 PM
111,201939,APR 18 2022 10:00 PM
112,203076,Empty
113,202334,Empty
114,1629056,Empty
115,201942,APR 20 2022 09:30 PM
116,203473,APR 19 2022 07:30 PM
117,1628978,Empty
118,1628977,Empty
119,203476,APR 19 2022 07:30 PM
120,203915,APR 18 2022 08:30 PM
121,1629029,APR 18 2022 08:30 PM
122,1629652,Empty
123,1630245,APR 20 2022 09:30 PM
124,201609,APR 20 2022 07:00 PM
125,203083,APR 20 2022 07:00 PM
126,1630537,Empty
127,1630561,APR 20 2022 07:00 PM
128,201142,APR 20 2022 07:00 PM
129,1630162,APR 19 2022 08:30 PM
130,1629035,Empty
131,1630556,APR 20 2022 07:00 PM
132,1629604,Empty
133,201961,Empty
134,203954,APR 18 2022 07:30 PM
135,202324,Empty
136,1628981,Empty
137,1627827,APR 18 2022 08:30 PM
138,1630238,APR 20 2022 07:00 PM
139,1630201,APR 18 2022 07:30 PM
140,1627854,APR 18 2022 10:00 PM
141,1630235,APR 18 2022 08:30 PM
142,203095,Empty
